00000120170201D35353531            11
00000120170201D35353531            13
00000120170504D32323335            11
00000120170505D31353435            11
00000120170201D35353531            12
00000120170304D36353135            11
00000120170501D32323335            13
00000120170504D31353435            13
00000420170504D32323335            12
00000420170505D31353435            12
00000420170304D36353135            13
00000420170807D33453532            11
00000620170807D33453532            13
00000620170509D36453933            11
00000620170509D36453933            13
00000620170112D30353536            11
00002220170112D30353536            13
00002220170201D35353531            13
00002220170504D32323335            13
99999920170505D31353435            22
